candidate,memory_mb,phase,query_id,embed_ms,search_ms,total_ms,hits
qdrant,1024,cold,baths-buda,101.3,1933.6,2034.9,wv:en:Budapest/North Buda#do:thermal-bath-szent-lukacs wv:en:Budapest/South Buda#do:gellert-baths wv:en:Budapest#section:do/thermal-baths:c1 wv:en:Budapest/Víziváros#do:rudas-thermal-bath wv:es:Budapest#section:hacer/banos-termales:c1 wv:en:Budapest#section:do/thermal-baths/modern-baths:c1 wp:en:1672696#s0-c1 wv:en:Budapest#section:do/thermal-baths/traditional-public-baths:c1 wp:en:35313365#s0-c2 wv:en:Budapest/Városliget#do:szechenyi-thermal-bath
qdrant,1024,warm,baths-buda,75.6,46.2,121.8,wv:en:Budapest/North Buda#do:thermal-bath-szent-lukacs wv:en:Budapest/South Buda#do:gellert-baths wv:en:Budapest#section:do/thermal-baths:c1 wv:en:Budapest/Víziváros#do:rudas-thermal-bath wv:es:Budapest#section:hacer/banos-termales:c1 wv:en:Budapest#section:do/thermal-baths/modern-baths:c1 wp:en:1672696#s0-c1 wv:en:Budapest#section:do/thermal-baths/traditional-public-baths:c1 wp:en:35313365#s0-c2 wv:en:Budapest/Városliget#do:szechenyi-thermal-bath
qdrant,1024,warm,baths-buda-es,74.5,44.7,119.2,wv:es:Budapest#section:hacer/banos-termales:c1 wv:en:Budapest/South Buda#do:gellert-baths wv:en:Budapest/North Buda#do:thermal-bath-szent-lukacs wv:es:Budapest#section:hacer/banos-termales/banos-publicos-tradicionales/banos-modernos:c1 wv:en:Budapest#section:do/thermal-baths:c1 wv:en:Budapest#section:do/thermal-baths/modern-baths:c1 wv:en:Budapest/Víziváros#do:rudas-thermal-bath wp:en:35313365#s0-c2 wp:en:1672696#s0-c1 wv:es:Budapest#section:hacer/banos-termales/banos-publicos-tradicionales:c1
qdrant,1024,warm,szechenyi,76.7,22.3,99.0,wp:en:2613263#s1-c1 wv:en:Budapest/Városliget#do:szechenyi-thermal-bath wp:en:2613263#s0-c1 wv:en:Budapest/Városliget#section:do/leisure:c1 wp:en:35313365#s0-c2 wv:en:Budapest/Aquincum#do:csillaghegy-arpad-bath wv:en:Budapest#section:do/thermal-baths:c1 wv:en:Budapest/Erzsébetváros#see:hungaria-bath wp:en:35313365#s0-c1 wv:en:Budapest/Belváros#do:park-of-szechenyi-istvan-ter
qdrant,1024,warm,szechenyi-plain,77.6,22.9,100.4,wp:en:2613263#s2-c1 wv:en:Budapest/East Pest#do:szentmihaly-swimming-pool wv:en:Budapest/Városliget#do:szechenyi-thermal-bath wv:en:Budapest/East Pest#do:erzsebetliget-swimming-pool wv:en:Budapest/Zugló#do:bvsc-swimming-pool wv:en:Budapest/Kőbánya#do:ujhegy-swimming-pool-and-bath wv:en:Budapest/East Pest#do:ujlak-swimming-pool wp:en:2613263#s1-c1 wv:en:Budapest/Aquincum#do:szedruskert-training-pool wv:en:Budapest/Zugló#do:paskal-thermal-bath
qdrant,1024,warm,ruin-bars,74.3,23.2,97.4,osm:node/3283497736 wv:en:Budapest/Erzsébetváros#section:drink:c1 osm:node/3134154429 wv:en:Budapest/Belváros#section:drink:c1 tour:budapest:go-zeppelin-jewish-quarter wv:en:Budapest/South Buda#drink:avar-pub osm:node/9084818345 osm:node/2188749318 wv:en:Budapest/East Pest#drink:kispipa-pub wv:en:Budapest/Aquincum#drink:miamor-romaim
qdrant,1024,warm,parliament,74.7,20.5,95.2,wv:en:Budapest/Belváros#see:parliament wv:en:Budapest/Belváros#section:see/the-parliament:c1 wv:en:Budapest/Józsefváros#see:former-house-of-parliament wv:en:Budapest/Belváros#see:ethnographic-museum wv:es:Budapest#section:ver:c1 wv:en:Budapest/Hegyvidék#do:budapest-congress-center wv:en:Budapest#section:see:c3 wv:en:Budapest/Józsefváros#see:national-museum wp:en:1438363#s0-c1 wv:en:Budapest#section:see:c5
qdrant,1024,warm,free-walking-tour,77.3,24.2,101.5,tour:budapest:by-locals-pest-english tour:budapest:go-zeppelin-best-of-budapest tour:budapest:trip-to-budapest-pest tour:budapest:luna-pest-downtown tour:budapest:trip-to-budapest-art-nouveau tour:budapest:go-zeppelin-buda-castle tour:budapest:by-locals-pest-spanish wv:en:Budapest#section:do:c1 tour:budapest:trip-to-budapest-buda-castle tour:budapest:trip-to-budapest-jewish-district
qdrant,1024,warm,free-tour-es,76.9,22.5,99.4,tour:budapest:by-locals-pest-spanish tour:budapest:trip-to-budapest-pest tour:budapest:by-locals-pest-english tour:budapest:go-zeppelin-best-of-budapest tour:budapest:luna-pest-downtown tour:budapest:trip-to-budapest-buda-castle wv:en:Budapest#section:do:c1 tour:budapest:trip-to-budapest-art-nouveau tour:budapest:trip-to-budapest-jewish-district tour:budapest:go-zeppelin-buda-castle
qdrant,1024,warm,jewish-quarter-tour,74.1,21.0,95.1,tour:budapest:go-zeppelin-jewish-quarter tour:budapest:trip-to-budapest-jewish-district wv:en:Budapest/Erzsébetváros#section:understand/jewish-quarter:c1 wp:en:7706391#s9-c1 wp:en:35457863#s0-c1 wv:en:Budapest/Budavár#see:medieval-jewish-prayer-house wp:en:7706391#s7-c1 tour:budapest:trip-to-budapest-communism wp:en:39684758#s0-c1 tour:budapest:go-zeppelin-buda-castle
